product_id,product_name,category,subcategory,brand,unit_price,units_sold,revenue,avg_rating,return_rate_pct,stock_level,season
PROD-0001,Camping Tent 4P,Sports,Outdoor,FreshFoods,294.72,3407,1004111.04,3.14,5.4,579,Summer
PROD-0002,iPhone 15,Electronics,Smartphones,HomeStyle,1102.38,2951,3253123.38,3.67,5.19,1335,Autumn
PROD-0003,Wool Scarf,Clothing,Accessories,HomeStyle,43.33,1313,56892.29,3.74,3.85,307,All-Year
PROD-0004,iPhone 15,Electronics,Smartphones,TechPro,1103.41,2564,2829143.24,4.02,9.48,1040,All-Year
PROD-0005,Dark Chocolate Box,Food & Beverage,Snacks,HomeStyle,19.04,3103,59081.12,4.66,0.87,1487,Summer
PROD-0006,Denim Jacket,Clothing,Men's Wear,FashionPlus,66.3,633,41967.9,4.92,11.91,1157,All-Year
PROD-0007,LED Floor Lamp,Home & Garden,Lighting,FashionPlus,95.6,3424,327334.4,4.08,1.89,1799,All-Year
PROD-0008,Galaxy S24,Electronics,Smartphones,FreshFoods,931.51,4296,4001766.96,4.04,4.14,399,All-Year
PROD-0009,Yoga Mat Premium,Sports,Yoga,SportMax,47.25,2965,140096.25,3.46,4.12,1991,Spring
PROD-0010,Dark Chocolate Box,Food & Beverage,Snacks,SportMax,15.33,3358,51478.14,3.72,4.55,1035,Spring
PROD-0011,Dumbbell Set 20kg,Sports,Fitness Equipment,FashionPlus,92.74,1887,175000.38,3.9,5.32,1166,Summer
PROD-0012,Ceramic Mug Set,Home & Garden,Kitchenware,SportMax,34.46,3339,115061.94,4.35,8.16,1240,Autumn
PROD-0013,Yoga Mat Premium,Sports,Yoga,HomeStyle,46.89,667,31275.63,3.82,6.31,303,All-Year
PROD-0014,Wool Scarf,Clothing,Accessories,FashionPlus,48.39,1622,78488.58,4.8,10.58,31,Summer
PROD-0015,ThinkPad X1,Electronics,Laptops,ReadWell,1303.43,4543,5921482.49,4.42,5.9,206,Summer
PROD-0016,Galaxy S24,Electronics,Smartphones,ReadWell,729.96,1367,997855.32,4.98,2.02,1775,All-Year
PROD-0017,Denim Jacket,Clothing,Men's Wear,ReadWell,77.2,3295,254374.0,4.39,3.28,600,Spring
PROD-0018,Camping Tent 4P,Sports,Outdoor,HomeStyle,327.63,882,288969.66,4.99,1.02,1512,Autumn
PROD-0019,Leather Boots,Clothing,Footwear,ReadWell,177.35,3569,632962.15,3.58,5.99,275,Summer
PROD-0020,LED Floor Lamp,Home & Garden,Lighting,FreshFoods,74.93,63,4720.59,4.19,4.75,1329,Winter
PROD-0021,Denim Jacket,Clothing,Men's Wear,HomeStyle,80.52,4167,335526.84,4.45,3.71,1583,Spring
PROD-0022,Canon EOS R6,Electronics,Cameras,HomeStyle,2615.57,395,1033150.15,4.13,10.82,1187,All-Year
PROD-0023,Silk Dress,Clothing,Women's Wear,HomeStyle,124.02,2609,323568.18,4.51,11.47,85,Summer
PROD-0024,Silk Dress,Clothing,Women's Wear,FreshFoods,121.15,2575,311961.25,3.2,3.78,242,Autumn
PROD-0025,Running Shoes Pro,Sports,Running,ReadWell,151.9,1387,210685.3,3.58,11.05,1241,Spring
PROD-0026,Canon EOS R6,Electronics,Cameras,FashionPlus,2347.35,786,1845017.1,3.41,10.15,1545,Summer
PROD-0027,iPhone 15,Electronics,Smartphones,FreshFoods,1250.02,4422,5527588.44,4.08,2.74,1000,Spring
PROD-0028,Dumbbell Set 20kg,Sports,Fitness Equipment,SportMax,83.74,4678,391735.72,3.85,5.62,258,Winter
PROD-0029,Yoga Mat Premium,Sports,Yoga,TechPro,56.75,982,55728.5,3.89,5.47,538,Spring
PROD-0030,AirPods Pro,Electronics,Headphones,HomeStyle,290.29,954,276936.66,4.94,9.74,1524,Summer
PROD-0031,MacBook Air,Electronics,Laptops,HomeStyle,1053.16,2747,2893030.52,3.55,7.75,1050,Spring
PROD-0032,Dark Chocolate Box,Food & Beverage,Snacks,FashionPlus,14.35,314,4505.9,3.87,11.22,1626,All-Year
PROD-0033,Camping Tent 4P,Sports,Outdoor,SportMax,364.99,291,106212.09,4.9,7.71,503,Summer
PROD-0034,LED Floor Lamp,Home & Garden,Lighting,ReadWell,110.01,1803,198348.03,4.35,3.55,310,Winter
PROD-0035,Sony WH-1000XM5,Electronics,Headphones,FashionPlus,365.88,1079,394784.52,3.4,10.57,1947,All-Year
PROD-0036,iPad Air,Electronics,Tablets,TechPro,609.28,4019,2448696.32,4.12,2.9,364,Spring
PROD-0037,Silk Dress,Clothing,Women's Wear,FashionPlus,120.17,3115,374329.55,4.26,3.2,714,Winter
PROD-0038,Standing Desk,Home & Garden,Furniture,FashionPlus,637.31,2458,1566507.98,4.68,10.56,1368,Winter
PROD-0039,Wool Scarf,Clothing,Accessories,FashionPlus,38.85,2925,113636.25,4.09,3.9,448,Spring
PROD-0040,Yoga Mat Premium,Sports,Yoga,ReadWell,62.95,2665,167761.75,3.49,5.39,360,Winter
PROD-0041,Camping Tent 4P,Sports,Outdoor,FashionPlus,256.17,3261,835370.37,4.41,9.4,990,Winter
PROD-0042,The Great Novel,Books,Fiction,ReadWell,28.58,237,6773.46,3.58,6.34,1822,Winter
PROD-0043,Galaxy S24,Electronics,Smartphones,FreshFoods,1066.12,2143,2284695.16,4.35,5.23,1656,Winter
PROD-0044,Silk Dress,Clothing,Women's Wear,ReadWell,120.02,447,53648.94,3.54,8.87,695,Spring
PROD-0045,Yoga Mat Premium,Sports,Yoga,ReadWell,49.24,4689,230886.36,4.75,6.66,1596,Spring
PROD-0046,The Great Novel,Books,Fiction,FreshFoods,24.11,4955,119465.05,4.08,11.43,43,Winter
PROD-0047,MacBook Air,Electronics,Laptops,FashionPlus,1159.01,2889,3348379.89,4.53,6.86,1341,Spring
PROD-0048,Standing Desk,Home & Garden,Furniture,SportMax,489.54,1625,795502.5,4.97,10.14,810,Summer
PROD-0049,Yoga Mat Premium,Sports,Yoga,SportMax,61.51,2715,166999.65,3.83,6.86,509,Spring
PROD-0050,Galaxy S24,Electronics,Smartphones,TechPro,1058.63,4313,4565871.19,3.21,5.08,993,Spring
PROD-0051,Sony WH-1000XM5,Electronics,Headphones,HomeStyle,331.81,1884,625130.04,4.26,8.41,69,Autumn
PROD-0052,ThinkPad X1,Electronics,Laptops,ReadWell,1577.57,1074,1694310.18,4.64,10.58,1765,Spring
PROD-0053,MacBook Air,Electronics,Laptops,TechPro,1261.65,3402,4292133.3,3.04,9.04,1109,All-Year
PROD-0054,AirPods Pro,Electronics,Headphones,TechPro,290.82,3204,931787.28,3.39,7.47,639,Autumn
PROD-0055,Silk Dress,Clothing,Women's Wear,FreshFoods,151.15,2475,374096.25,3.55,2.83,541,All-Year
PROD-0056,Wool Scarf,Clothing,Accessories,ReadWell,36.88,762,28102.56,3.44,5.17,570,Winter
PROD-0057,Yoga Mat Premium,Sports,Yoga,FashionPlus,52.26,2003,104676.78,3.76,11.92,1490,Winter
PROD-0058,Dumbbell Set 20kg,Sports,Fitness Equipment,FreshFoods,103.0,3704,381512.0,3.45,11.71,813,Summer
PROD-0059,Leather Boots,Clothing,Footwear,HomeStyle,165.11,892,147278.12,4.29,4.32,1658,Spring
PROD-0060,ThinkPad X1,Electronics,Laptops,FreshFoods,1237.59,4012,4965211.08,4.19,1.46,825,All-Year
PROD-0061,Wool Scarf,Clothing,Accessories,FreshFoods,45.3,4641,210237.3,4.52,1.18,1010,Autumn
PROD-0062,Silk Dress,Clothing,Women's Wear,HomeStyle,150.96,1233,186133.68,3.07,8.42,1226,Winter
PROD-0063,iPhone 15,Electronics,Smartphones,HomeStyle,1144.05,4607,5270638.35,4.59,6.77,641,Summer
PROD-0064,Camping Tent 4P,Sports,Outdoor,ReadWell,345.18,4214,1454588.52,4.11,9.01,1501,Spring
PROD-0065,ThinkPad X1,Electronics,Laptops,ReadWell,1608.33,3077,4948831.41,3.25,0.66,1064,Spring
PROD-0066,Sony WH-1000XM5,Electronics,Headphones,SportMax,355.56,931,331026.36,3.08,5.38,349,All-Year
PROD-0067,Wool Scarf,Clothing,Accessories,SportMax,45.81,4481,205274.61,3.84,0.61,240,Winter
PROD-0068,Yoga Mat Premium,Sports,Yoga,FashionPlus,61.79,2220,137173.8,4.04,7.57,761,All-Year
PROD-0069,Data Science 101,Books,Non-Fiction,SportMax,43.53,4286,186569.58,4.37,9.73,1949,Autumn
PROD-0070,Standing Desk,Home & Garden,Furniture,FreshFoods,461.88,3791,1750987.08,3.42,4.3,1529,Summer
PROD-0071,Sony WH-1000XM5,Electronics,Headphones,FreshFoods,403.98,3881,1567846.38,3.02,5.29,307,Winter
PROD-0072,MacBook Air,Electronics,Laptops,TechPro,1146.15,1537,1761632.55,3.4,1.58,939,Autumn
PROD-0073,ThinkPad X1,Electronics,Laptops,TechPro,1556.37,4869,7577965.53,3.31,4.53,1145,Summer
PROD-0074,Dumbbell Set 20kg,Sports,Fitness Equipment,FashionPlus,71.83,1578,113347.74,3.55,9.94,1777,Winter
PROD-0075,LED Floor Lamp,Home & Garden,Lighting,FashionPlus,84.81,3303,280127.43,4.87,6.95,1313,Summer
PROD-0076,MacBook Air,Electronics,Laptops,FreshFoods,1050.58,1773,1862678.34,3.56,3.52,209,Summer
PROD-0077,Standing Desk,Home & Garden,Furniture,FreshFoods,560.09,3137,1757002.33,3.66,9.38,1212,All-Year
PROD-0078,Running Shoes Pro,Sports,Running,FashionPlus,184.11,3878,713978.58,3.42,0.53,474,Summer
PROD-0079,MacBook Air,Electronics,Laptops,FreshFoods,1047.02,1350,1413477.0,3.95,0.5,159,Spring
PROD-0080,AirPods Pro,Electronics,Headphones,FreshFoods,299.7,3484,1044154.8,4.33,4.26,1024,Spring
PROD-0081,Canon EOS R6,Electronics,Cameras,FreshFoods,2490.56,3158,7865188.48,4.41,4.58,1717,All-Year
PROD-0082,Camping Tent 4P,Sports,Outdoor,FreshFoods,250.89,4959,1244163.51,4.68,11.49,1936,Autumn
PROD-0083,Dark Chocolate Box,Food & Beverage,Snacks,SportMax,18.29,4591,83969.39,3.88,8.49,513,Spring
PROD-0084,Ceramic Mug Set,Home & Garden,Kitchenware,ReadWell,32.66,1458,47618.28,3.05,4.71,954,Autumn
PROD-0085,Silk Dress,Clothing,Women's Wear,SportMax,142.99,1564,223636.36,3.76,2.56,1531,Spring
PROD-0086,iPad Air,Electronics,Tablets,ReadWell,587.32,1596,937362.72,3.01,4.07,192,Autumn
PROD-0087,Running Shoes Pro,Sports,Running,FreshFoods,187.86,4970,933664.2,3.55,7.94,1314,Winter
PROD-0088,Denim Jacket,Clothing,Men's Wear,TechPro,102.53,2072,212442.16,3.55,1.16,1171,Spring
PROD-0089,Dark Chocolate Box,Food & Beverage,Snacks,ReadWell,19.47,3723,72486.81,3.98,5.94,1791,All-Year
PROD-0090,ThinkPad X1,Electronics,Laptops,TechPro,1377.69,1254,1727623.26,4.41,2.53,1742,Summer
PROD-0091,MacBook Air,Electronics,Laptops,ReadWell,1459.22,978,1427117.16,3.11,7.83,127,Autumn
PROD-0092,ThinkPad X1,Electronics,Laptops,FreshFoods,1313.3,1590,2088147.0,4.31,8.98,681,Autumn
PROD-0093,Dark Chocolate Box,Food & Beverage,Snacks,SportMax,18.78,4807,90275.46,4.44,4.71,29,Winter
PROD-0094,Silk Dress,Clothing,Women's Wear,FashionPlus,146.39,532,77879.48,3.39,9.25,302,Autumn
PROD-0095,MacBook Air,Electronics,Laptops,SportMax,1225.02,2257,2764870.14,4.22,8.42,838,Summer
PROD-0096,Data Science 101,Books,Non-Fiction,FashionPlus,61.04,26,1587.04,3.62,6.95,241,Autumn
PROD-0097,Leather Boots,Clothing,Footwear,FreshFoods,193.67,705,136537.35,4.13,5.82,238,Spring
PROD-0098,Sony WH-1000XM5,Electronics,Headphones,FashionPlus,294.28,2600,765128.0,4.18,11.61,1570,Summer
PROD-0099,iPhone 15,Electronics,Smartphones,SportMax,1117.85,3771,4215412.35,3.16,8.83,505,Autumn
PROD-0100,Organic Coffee Beans,Food & Beverage,Beverages,FashionPlus,25.41,1565,39766.65,4.49,8.99,635,Spring
PROD-0101,Denim Jacket,Clothing,Men's Wear,FashionPlus,74.54,2285,170323.9,3.28,4.13,462,Summer
PROD-0102,Running Shoes Pro,Sports,Running,SportMax,132.39,2416,319854.24,3.52,5.56,189,Winter
PROD-0103,Dumbbell Set 20kg,Sports,Fitness Equipment,FreshFoods,87.38,4284,374335.92,3.9,7.76,1703,Summer
PROD-0104,Galaxy S24,Electronics,Smartphones,FreshFoods,892.56,4406,3932619.36,4.14,11.93,888,Autumn
PROD-0105,Data Science 101,Books,Non-Fiction,FashionPlus,59.89,1699,101753.11,3.68,11.64,1129,Autumn
PROD-0106,MacBook Air,Electronics,Laptops,FreshFoods,1422.86,2115,3009348.9,3.44,3.5,1888,Spring
PROD-0107,Standing Desk,Home & Garden,Furniture,FashionPlus,556.66,3892,2166520.72,3.28,7.25,762,All-Year
PROD-0108,Denim Jacket,Clothing,Men's Wear,FashionPlus,86.44,277,23943.88,3.64,1.7,734,Spring
PROD-0109,Sony WH-1000XM5,Electronics,Headphones,ReadWell,362.17,2758,998864.86,4.3,1.65,1870,Autumn
PROD-0110,Yoga Mat Premium,Sports,Yoga,SportMax,50.64,1525,77226.0,4.5,5.55,1262,Winter
PROD-0111,LED Floor Lamp,Home & Garden,Lighting,FreshFoods,102.11,3271,334001.81,3.95,3.3,1481,Autumn
PROD-0112,The Great Novel,Books,Fiction,HomeStyle,26.02,3286,85501.72,3.6,11.66,1796,Summer
PROD-0113,Standing Desk,Home & Garden,Furniture,TechPro,504.24,2206,1112353.44,4.91,5.11,58,Summer
PROD-0114,Standing Desk,Home & Garden,Furniture,SportMax,629.33,4889,3076794.37,4.93,11.34,406,All-Year
PROD-0115,AirPods Pro,Electronics,Headphones,SportMax,281.79,440,123987.6,4.94,4.06,1568,Summer
PROD-0116,Dumbbell Set 20kg,Sports,Fitness Equipment,ReadWell,88.82,3773,335117.86,3.0,2.2,1808,Summer
PROD-0117,Yoga Mat Premium,Sports,Yoga,HomeStyle,41.17,1934,79622.78,4.72,5.52,1483,Summer
PROD-0118,AirPods Pro,Electronics,Headphones,FashionPlus,268.34,3065,822462.1,3.01,2.33,204,Winter
PROD-0119,Ceramic Mug Set,Home & Garden,Kitchenware,FashionPlus,28.91,1740,50303.4,4.83,8.19,1702,Winter
PROD-0120,Dark Chocolate Box,Food & Beverage,Snacks,SportMax,17.71,784,13884.64,3.78,4.16,1915,Summer
PROD-0121,Denim Jacket,Clothing,Men's Wear,HomeStyle,98.67,3478,343174.26,4.19,6.64,710,Winter
PROD-0122,Organic Coffee Beans,Food & Beverage,Beverages,FashionPlus,25.69,220,5651.8,3.44,7.5,1572,Summer
PROD-0123,Dumbbell Set 20kg,Sports,Fitness Equipment,HomeStyle,86.32,13,1122.16,4.22,9.14,1873,Spring
PROD-0124,Data Science 101,Books,Non-Fiction,SportMax,43.44,1539,66854.16,3.09,3.97,190,Autumn
PROD-0125,Denim Jacket,Clothing,Men's Wear,FashionPlus,70.31,1234,86762.54,3.57,4.95,1681,Winter
PROD-0126,Galaxy S24,Electronics,Smartphones,HomeStyle,1150.05,3454,3972272.7,3.36,5.08,1059,Spring
PROD-0127,Leather Boots,Clothing,Footwear,TechPro,154.73,830,128425.9,4.31,5.15,1652,Spring
PROD-0128,Sony WH-1000XM5,Electronics,Headphones,HomeStyle,301.67,4153,1252835.51,3.77,5.73,995,Winter
PROD-0129,Silk Dress,Clothing,Women's Wear,TechPro,122.74,2118,259963.32,4.48,1.83,1652,Winter
PROD-0130,Standing Desk,Home & Garden,Furniture,HomeStyle,594.06,2744,1630100.64,4.69,11.68,228,Summer
PROD-0131,Silk Dress,Clothing,Women's Wear,FreshFoods,152.19,655,99684.45,3.3,4.38,1913,All-Year
PROD-0132,Running Shoes Pro,Sports,Running,SportMax,157.56,3727,587226.12,3.87,5.84,81,Spring
PROD-0133,Wool Scarf,Clothing,Accessories,ReadWell,38.36,4909,188309.24,4.37,3.4,691,Autumn
PROD-0134,iPhone 15,Electronics,Smartphones,FreshFoods,932.68,2402,2240297.36,3.71,0.7,664,Autumn
PROD-0135,Data Science 101,Books,Non-Fiction,TechPro,54.88,2926,160578.88,4.46,6.61,811,Summer
PROD-0136,Sony WH-1000XM5,Electronics,Headphones,TechPro,372.55,1032,384471.6,4.45,7.78,882,Autumn
PROD-0137,Dumbbell Set 20kg,Sports,Fitness Equipment,ReadWell,101.86,1999,203618.14,4.84,10.89,1909,All-Year
PROD-0138,LED Floor Lamp,Home & Garden,Lighting,ReadWell,73.01,2675,195301.75,3.75,2.19,2000,Spring
PROD-0139,Denim Jacket,Clothing,Men's Wear,FreshFoods,101.92,645,65738.4,3.68,7.82,618,Winter
PROD-0140,Denim Jacket,Clothing,Men's Wear,TechPro,70.47,2104,148268.88,4.44,9.04,162,Winter
PROD-0141,ThinkPad X1,Electronics,Laptops,SportMax,1518.54,2483,3770534.82,4.23,6.7,1625,Summer
PROD-0142,Dark Chocolate Box,Food & Beverage,Snacks,TechPro,14.8,3874,57335.2,3.43,11.26,562,Summer
PROD-0143,Running Shoes Pro,Sports,Running,FreshFoods,169.22,4953,838146.66,3.8,2.58,583,Autumn
PROD-0144,iPhone 15,Electronics,Smartphones,ReadWell,902.66,3394,3063628.04,4.31,3.66,947,All-Year
PROD-0145,Data Science 101,Books,Non-Fiction,HomeStyle,42.42,1841,78095.22,3.04,4.23,130,All-Year
PROD-0146,Yoga Mat Premium,Sports,Yoga,FashionPlus,56.64,3773,213702.72,4.18,7.8,673,All-Year
PROD-0147,Denim Jacket,Clothing,Men's Wear,ReadWell,99.93,102,10192.86,3.69,4.18,1684,Winter
PROD-0148,AirPods Pro,Electronics,Headphones,ReadWell,305.57,4087,1248864.59,3.42,8.52,1378,Winter
PROD-0149,Running Shoes Pro,Sports,Running,ReadWell,121.6,4680,569088.0,4.94,7.76,1149,Autumn
PROD-0150,MacBook Air,Electronics,Laptops,SportMax,1407.63,4338,6106298.94,3.74,3.86,645,Winter
PROD-0151,Organic Coffee Beans,Food & Beverage,Beverages,ReadWell,16.29,4791,78045.39,3.33,4.54,883,Winter
PROD-0152,iPhone 15,Electronics,Smartphones,HomeStyle,1077.14,4020,4330102.8,4.98,4.82,1100,Summer
PROD-0153,Denim Jacket,Clothing,Men's Wear,FreshFoods,100.68,1011,101787.48,3.19,3.01,226,All-Year
PROD-0154,Yoga Mat Premium,Sports,Yoga,SportMax,60.39,3285,198381.15,4.1,4.55,445,Winter
PROD-0155,The Great Novel,Books,Fiction,HomeStyle,23.98,2975,71340.5,4.26,8.14,1406,Autumn
PROD-0156,Standing Desk,Home & Garden,Furniture,FreshFoods,532.06,1844,981118.64,4.72,6.19,950,Autumn
PROD-0157,Leather Boots,Clothing,Footwear,SportMax,200.65,1455,291945.75,3.8,0.54,1699,Autumn
PROD-0158,Leather Boots,Clothing,Footwear,FashionPlus,140.9,805,113424.5,3.77,8.01,1995,Winter
PROD-0159,Silk Dress,Clothing,Women's Wear,SportMax,144.25,1836,264843.0,3.28,7.63,164,All-Year
PROD-0160,LED Floor Lamp,Home & Garden,Lighting,FashionPlus,89.39,187,16715.93,3.65,3.37,1165,Winter
PROD-0161,Organic Coffee Beans,Food & Beverage,Beverages,TechPro,25.51,186,4744.86,4.49,10.66,1339,Winter
PROD-0162,Ceramic Mug Set,Home & Garden,Kitchenware,FreshFoods,35.72,1322,47221.84,3.92,8.82,490,Summer
PROD-0163,Wool Scarf,Clothing,Accessories,FashionPlus,49.17,2643,129956.31,3.27,1.25,63,Summer
PROD-0164,LED Floor Lamp,Home & Garden,Lighting,ReadWell,91.63,4941,452743.83,3.89,3.28,362,Winter
PROD-0165,Standing Desk,Home & Garden,Furniture,FashionPlus,426.93,4948,2112449.64,4.68,10.53,1861,Summer
PROD-0166,Canon EOS R6,Electronics,Cameras,ReadWell,2901.4,572,1659600.8,3.01,0.87,1386,Winter
PROD-0167,Standing Desk,Home & Garden,Furniture,ReadWell,614.31,576,353842.56,4.57,11.51,1809,All-Year
PROD-0168,ThinkPad X1,Electronics,Laptops,FashionPlus,1662.43,4375,7273131.25,4.43,5.54,1695,Spring
PROD-0169,Yoga Mat Premium,Sports,Yoga,ReadWell,59.49,326,19393.74,3.73,8.74,1047,Winter
PROD-0170,Silk Dress,Clothing,Women's Wear,TechPro,109.88,2150,236242.0,4.52,7.17,1621,Spring
PROD-0171,Sony WH-1000XM5,Electronics,Headphones,HomeStyle,351.25,2783,977528.75,3.28,3.3,988,Summer
PROD-0172,Running Shoes Pro,Sports,Running,TechPro,143.79,606,87136.74,3.92,8.65,1541,Summer
PROD-0173,Running Shoes Pro,Sports,Running,HomeStyle,141.2,3642,514250.4,3.66,5.68,528,All-Year
PROD-0174,Running Shoes Pro,Sports,Running,FreshFoods,121.86,1147,139773.42,3.3,3.82,452,Autumn
PROD-0175,LED Floor Lamp,Home & Garden,Lighting,HomeStyle,102.96,2512,258635.52,4.89,2.32,1298,Autumn
PROD-0176,Wool Scarf,Clothing,Accessories,FashionPlus,39.78,2415,96068.7,3.31,9.76,263,Summer
PROD-0177,The Great Novel,Books,Fiction,HomeStyle,30.73,2107,64748.11,4.27,0.82,433,All-Year
PROD-0178,Yoga Mat Premium,Sports,Yoga,SportMax,53.51,2125,113708.75,3.73,6.35,1782,All-Year
PROD-0179,Denim Jacket,Clothing,Men's Wear,ReadWell,87.63,1395,122243.85,4.94,7.9,1202,All-Year
PROD-0180,Camping Tent 4P,Sports,Outdoor,FreshFoods,295.17,3975,1173300.75,4.3,10.51,987,Summer
PROD-0181,Wool Scarf,Clothing,Accessories,ReadWell,31.48,530,16684.4,3.68,4.06,459,Summer
PROD-0182,Running Shoes Pro,Sports,Running,FreshFoods,177.16,979,173439.64,4.3,4.6,940,All-Year
PROD-0183,Data Science 101,Books,Non-Fiction,TechPro,60.99,4293,261830.07,4.8,9.03,744,Spring
PROD-0184,Denim Jacket,Clothing,Men's Wear,FashionPlus,67.1,2699,181102.9,4.01,3.62,1969,All-Year
PROD-0185,Ceramic Mug Set,Home & Garden,Kitchenware,TechPro,37.27,458,17069.66,3.89,6.51,501,Autumn
PROD-0186,Sony WH-1000XM5,Electronics,Headphones,FashionPlus,442.59,2007,888278.13,3.46,8.75,363,Spring
PROD-0187,The Great Novel,Books,Fiction,HomeStyle,26.89,748,20113.72,4.49,8.93,1878,Spring
PROD-0188,AirPods Pro,Electronics,Headphones,FreshFoods,236.89,1701,402949.89,3.46,7.24,1190,Winter
PROD-0189,Leather Boots,Clothing,Footwear,TechPro,169.89,418,71014.02,3.64,7.79,402,Winter
PROD-0190,ThinkPad X1,Electronics,Laptops,ReadWell,1177.53,1617,1904066.01,3.2,7.28,1225,Winter
PROD-0191,Yoga Mat Premium,Sports,Yoga,FreshFoods,39.44,3520,138828.8,4.72,1.78,1815,Winter
PROD-0192,Data Science 101,Books,Non-Fiction,SportMax,54.71,3737,204451.27,4.98,3.4,833,All-Year
PROD-0193,Running Shoes Pro,Sports,Running,ReadWell,166.22,2692,447464.24,4.01,6.41,1948,Autumn
PROD-0194,Running Shoes Pro,Sports,Running,FreshFoods,137.75,2255,310626.25,4.36,6.29,1281,Winter
PROD-0195,ThinkPad X1,Electronics,Laptops,SportMax,1460.26,2614,3817119.64,4.79,6.36,1015,Summer
PROD-0196,Sony WH-1000XM5,Electronics,Headphones,TechPro,411.9,2495,1027690.5,3.19,10.41,701,All-Year
PROD-0197,Sony WH-1000XM5,Electronics,Headphones,SportMax,415.1,1898,787859.8,3.43,6.27,655,All-Year
PROD-0198,Wool Scarf,Clothing,Accessories,TechPro,44.55,4993,222438.15,3.42,8.23,663,Summer
PROD-0199,iPad Air,Electronics,Tablets,ReadWell,714.55,1293,923913.15,4.22,2.31,1959,All-Year
PROD-0200,Wool Scarf,Clothing,Accessories,FashionPlus,42.81,3415,146196.15,4.56,3.6,1910,Autumn
PROD-0201,Wool Scarf,Clothing,Accessories,HomeStyle,38.43,2508,96382.44,3.67,4.57,1526,Autumn
PROD-0202,Leather Boots,Clothing,Footwear,HomeStyle,161.01,3223,518935.23,4.53,0.57,1925,Winter
PROD-0203,Galaxy S24,Electronics,Smartphones,ReadWell,878.15,1146,1006359.9,4.95,9.32,39,Summer
PROD-0204,iPad Air,Electronics,Tablets,FashionPlus,693.84,2414,1674929.76,4.67,0.77,875,Winter
