campaign_id,campaign_name,channel,start_date,end_date,budget,spend,impressions,clicks,conversions,revenue_generated,roi_pct,region
CAMP-0001,Spring Campaign,Email,2025-01-01,2025-02-03,26052.29,20181.94,2961613,213482,8700,4280620.12,21110.2,North
CAMP-0002,Summer Sale,Social Media,2023-11-25,2024-01-06,104653.5,87931.22,13906690,799980,73518,17007124.67,19241.4,East
CAMP-0003,Summer Sale,Social Media,2024-05-22,2024-06-07,56125.63,51394.12,4702272,252847,22395,8347649.16,16142.4,East
CAMP-0004,Double 11 Sale,App,2025-03-17,2025-04-29,86196.22,85833.75,8524045,515919,46789,22045589.83,25584.1,North
CAMP-0005,Brand Day,Social Media,2023-05-10,2023-06-02,120936.7,108919.47,12401355,100913,5922,2731062.4,2407.4,North
CAMP-0006,Black Friday,App,2024-04-17,2024-05-29,33364.74,26525.79,2497182,89967,7764,962163.28,3527.3,South
CAMP-0007,Autumn Deal,Third-party,2024-09-29,2024-10-17,184227.76,169361.78,32172833,1478136,96791,29630587.86,17395.4,South
CAMP-0008,Referral Program,Email,2025-09-25,2025-11-08,82186.38,75323.06,7055199,527540,23372,4935865.59,6452.9,North
CAMP-0009,Autumn Deal,Third-party,2023-12-15,2024-01-28,55937.68,45295.23,6132170,81548,5319,2039306.02,4402.3,South
CAMP-0010,Double 11 Sale,App,2025-05-15,2025-06-21,198963.38,156432.72,29168786,2091009,29282,3737061.87,2288.9,West
CAMP-0011,618 Festival,Website,2024-03-08,2024-03-18,49278.5,44774.56,6851143,319557,14552,3738765.42,8250.2,South
CAMP-0012,Black Friday,App,2025-09-26,2025-10-11,24501.62,22118.69,1598168,79847,3521,293034.87,1224.8,North
CAMP-0013,Clearance,Store,2024-11-02,2024-12-15,63720.89,47635.21,5276411,256049,6683,1357940.77,2750.7,West
CAMP-0014,Black Friday,App,2024-11-29,2024-12-23,158175.84,151721.64,17566779,660828,36197,3655932.67,2309.6,West
CAMP-0015,Summer Sale,Social Media,2023-06-15,2023-06-22,164937.32,169223.63,11812155,825532,44663,11884839.7,6923.2,Central
CAMP-0016,Double 11 Sale,App,2024-08-07,2024-09-11,157590.78,127330.59,8989174,193761,15561,6507783.6,5010.9,North
CAMP-0017,Black Friday,App,2023-05-14,2023-06-05,172122.28,142747.1,23096008,1632689,131423,57668550.99,40299.1,South
CAMP-0018,Black Friday,App,2023-12-11,2024-01-05,15567.52,13057.59,959215,48553,1485,152292.11,1066.3,West
CAMP-0019,New Year Promo,Store,2025-05-26,2025-06-13,28090.79,21159.52,939447,58389,2958,1434689.95,6680.4,West
CAMP-0020,Referral Program,Email,2024-11-03,2024-12-10,65570.17,48982.08,3430753,34478,430,48679.15,-0.6,East
