order_id,order_date,customer_name,region,city,product_name,category,subcategory,quantity,unit_price,total_amount,payment_method,channel,status
ORD-2023000001,2023-07-29,Customer_174,North,Beijing,Running Shoes Pro,Sports,Running,2,136.63,273.26,COD,App,Returned
ORD-2023000002,2025-10-31,Customer_155,West,Chengdu,iPhone 15,Electronics,Smartphones,1,914.68,914.68,Credit Card,Third-party,Processing
ORD-2023000003,2023-01-14,Customer_195,Central,Zhengzhou,Canon EOS R6,Electronics,Cameras,4,2565.92,10263.68,Alipay,Phone,Shipped
ORD-2023000004,2025-02-17,Customer_25,East,Shanghai,iPad Air,Electronics,Tablets,3,527.52,1582.56,WeChat Pay,Store,Returned
ORD-2023000005,2025-02-14,Customer_21,East,Shanghai,Leather Boots,Clothing,Footwear,5,141.1,705.5,COD,Store,Returned
ORD-2023000006,2024-04-11,Customer_198,East,Nanjing,iPad Air,Electronics,Tablets,1,517.38,517.38,WeChat Pay,App,Processing
ORD-2023000007,2025-01-17,Customer_42,North,Tianjin,Running Shoes Pro,Sports,Running,4,155.07,620.28,WeChat Pay,Store,Processing
ORD-2023000008,2023-12-17,Customer_137,East,Nanjing,Organic Coffee Beans,Food & Beverage,Beverages,1,20.64,20.64,Alipay,Website,Cancelled
ORD-2023000009,2024-10-26,Customer_197,West,Chongqing,Data Science 101,Books,Non-Fiction,5,45.79,228.95,Credit Card,Website,Completed
ORD-2023000010,2024-10-06,Customer_55,East,Hangzhou,Running Shoes Pro,Sports,Running,1,136.08,136.08,Bank Transfer,Phone,Cancelled
ORD-2023000011,2024-06-22,Customer_192,South,Guangzhou,AirPods Pro,Electronics,Headphones,2,267.3,534.6,COD,Phone,Returned
ORD-2023000012,2023-07-06,Customer_194,West,Chongqing,Canon EOS R6,Electronics,Cameras,2,2506.14,5012.28,Credit Card,App,Processing
ORD-2023000013,2025-02-20,Customer_153,South,Xiamen,Silk Dress,Clothing,Women's Wear,5,112.11,560.55,Bank Transfer,Third-party,Shipped
ORD-2023000014,2024-06-30,Customer_197,Central,Wuhan,Organic Coffee Beans,Food & Beverage,Beverages,1,21.08,21.08,WeChat Pay,App,Shipped
